experimento,repeticion,modo,vacas,estrellas,hilos,estrellas_paralelas,schedule,chunk,semilla,ms_sim_avg,ms_sim_p95,ms_pasada_a_avg,ms_pasada_b_avg,ms_render_avg,fps
speedup,10,paralelo,1000,180,4,0,static,0,1234,12.094760,12.880300,11.843470,0.176805,0.000000,82.680
speedup,10,paralelo,1000,180,8,0,static,0,1234,9.393845,11.531400,9.094595,0.223365,0.000000,106.453
speedup,1,serial,3000,180,1,0,static,0,1234,293.943935,313.163200,293.388875,0.492545,0.000000,3.402
speedup,1,paralelo,3000,180,1,0,static,0,1234,280.653330,319.906100,280.138010,0.449360,0.000000,3.563
speedup,1,paralelo,3000,180,2,0,static,0,1234,170.303965,244.498900,169.580440,0.432170,0.000000,5.872
speedup,1,paralelo,3000,180,4,0,static,0,1234,122.550690,158.476400,122.117300,0.342995,0.000000,8.160
speedup,1,paralelo,3000,180,8,0,static,0,1234,110.135740,153.694300,109.289080,0.629735,0.000000,9.080
speedup,2,serial,3000,180,1,0,static,0,1234,314.529485,384.934100,313.878115,0.568305,0.000000,3.179
speedup,2,paralelo,3000,180,1,0,static,0,1234,300.004455,352.061500,299.521145,0.424290,0.000000,3.333
speedup,2,paralelo,3000,180,2,0,static,0,1234,166.477895,245.142700,165.955470,0.416870,0.000000,6.007
speedup,2,paralelo,3000,180,4,0,static,0,1234,121.589500,180.181800,121.190615,0.316415,0.000000,8.224
speedup,2,paralelo,3000,180,8,0,static,0,1234,141.693595,192.140200,140.951085,0.540215,0.000000,7.057
speedup,3,serial,3000,180,1,0,static,0,1234,295.983545,460.428300,295.392145,0.524690,0.000000,3.379
speedup,3,paralelo,3000,180,1,0,static,0,1234,347.164300,487.880800,346.597960,0.500430,0.000000,2.880
speedup,3,paralelo,3000,180,2,0,static,0,1234,169.021345,188.369800,168.564185,0.381850,0.000000,5.916
speedup,3,paralelo,3000,180,4,0,static,0,1234,109.111515,142.996600,108.641945,0.351875,0.000000,9.165
speedup,3,paralelo,3000,180,8,0,static,0,1234,115.736620,158.907100,114.718455,0.526370,0.000000,8.640
speedup,4,serial,3000,180,1,0,static,0,1234,381.687025,473.284900,380.935760,0.672770,0.000000,2.620
speedup,4,paralelo,3000,180,1,0,static,0,1234,352.161640,433.985400,351.660485,0.435055,0.000000,2.840
speedup,4,paralelo,3000,180,2,0,static,0,1234,213.516180,314.082000,212.836070,0.597400,0.000000,4.683
speedup,4,paralelo,3000,180,4,0,static,0,1234,93.573285,99.946800,93.228665,0.270060,0.000000,10.687
speedup,4,paralelo,3000,180,8,0,static,0,1234,134.110470,179.965600,133.487505,0.512810,0.000000,7.457
speedup,5,serial,3000,180,1,0,static,0,1234,241.611030,297.855300,241.153435,0.405890,0.000000,4.139
speedup,5,paralelo,3000,180,1,0,static,0,1234,245.853310,318.577700,245.449165,0.350225,0.000000,4.067
speedup,5,paralelo,3000,180,2,0,static,0,1234,161.752275,173.186600,161.329710,0.357020,0.000000,6.182
speedup,5,paralelo,3000,180,4,0,static,0,1234,109.238150,116.234600,108.834945,0.321845,0.000000,9.154
speedup,5,paralelo,3000,180,8,0,static,0,1234,81.674385,89.246500,81.253805,0.334470,0.000000,12.244
speedup,6,serial,3000,180,1,0,static,0,1234,228.620275,247.422600,228.171155,0.398730,0.000000,4.374
speedup,6,paralelo,3000,180,1,0,static,0,1234,222.340455,235.783700,221.958210,0.334610,0.000000,4.498
speedup,6,paralelo,3000,180,2,0,static,0,1234,145.498620,155.798800,145.095435,0.341710,0.000000,6.873
speedup,6,paralelo,3000,180,4,0,static,0,1234,97.387825,105.071600,97.015120,0.295820,0.000000,10.268
speedup,6,paralelo,3000,180,8,0,static,0,1234,82.149385,89.843100,81.738480,0.326485,0.000000,12.173
speedup,7,serial,3000,180,1,0,static,0,1234,246.477400,286.347800,246.023305,0.401820,0.000000,4.057
speedup,7,paralelo,3000,180,1,0,static,0,1234,224.355105,241.818700,223.972340,0.334180,0.000000,4.457
speedup,7,paralelo,3000,180,2,0,static,0,1234,148.874155,162.120600,148.472955,0.341770,0.000000,6.717
speedup,7,paralelo,3000,180,4,0,static,0,1234,98.361845,103.417100,97.991745,0.293285,0.000000,10.167
speedup,7,paralelo,3000,180,8,0,static,0,1234,82.091225,94.997000,81.693135,0.310050,0.000000,12.182
speedup,8,serial,3000,180,1,0,static,0,1234,322.669255,429.774900,322.070745,0.520985,0.000000,3.099
speedup,8,paralelo,3000,180,1,0,static,0,1234,201.223970,221.703000,200.895825,0.285085,0.000000,4.970
speedup,8,paralelo,3000,180,2,0,static,0,1234,136.286860,150.477100,135.929935,0.306520,0.000000,7.337
speedup,8,paralelo,3000,180,4,0,static,0,1234,87.675640,93.990100,87.336665,0.263040,0.000000,11.406
speedup,8,paralelo,3000,180,8,0,static,0,1234,64.756715,71.187700,64.418750,0.267960,0.000000,15.442
speedup,9,serial,3000,180,1,0,static,0,1234,196.690710,217.954800,196.328480,0.319115,0.000000,5.084
speedup,9,paralelo,3000,180,1,0,static,0,1234,200.187540,215.272500,199.871880,0.275350,0.000000,4.995
speedup,9,paralelo,3000,180,2,0,static,0,1234,131.841455,151.754600,131.483900,0.304955,0.000000,7.585
speedup,9,paralelo,3000,180,4,0,static,0,1234,93.553335,106.827900,93.198545,0.282190,0.000000,10.689
speedup,9,paralelo,3000,180,8,0,static,0,1234,72.546960,86.752200,72.176500,0.292145,0.000000,13.784
speedup,10,serial,3000,180,1,0,static,0,1234,202.113065,221.515200,201.708940,0.358430,0.000000,4.948
speedup,10,paralelo,3000,180,1,0,static,0,1234,258.872325,332.412700,258.455020,0.356745,0.000000,3.863
speedup,10,paralelo,3000,180,2,0,static,0,1234,161.117805,190.264400,160.693385,0.361710,0.000000,6.207
speedup,10,paralelo,3000,180,4,0,static,0,1234,90.183440,102.224500,89.836825,0.272850,0.000000,11.089
speedup,10,paralelo,3000,180,8,0,static,0,1234,76.268420,106.731600,75.819760,0.346085,0.000000,13.112
speedup,1,serial,5000,180,1,0,static,0,1234,813.169855,958.406800,812.234675,0.866690,0.000000,1.230
speedup,1,paralelo,5000,180,1,0,static,0,1234,644.377640,729.287600,643.756325,0.572115,0.000000,1.552
speedup,1,paralelo,5000,180,2,0,static,0,1234,593.604695,967.357200,590.929885,1.355125,0.000000,1.685
speedup,1,paralelo,5000,180,4,0,static,0,1234,270.457570,284.745100,269.988035,0.392775,0.000000,3.697
speedup,1,paralelo,5000,180,8,0,static,0,1234,272.541975,303.754000,271.770440,0.532710,0.000000,3.669
speedup,2,serial,5000,180,1,0,static,0,1234,735.045575,857.046700,734.314710,0.672950,0.000000,1.360
speedup,2,paralelo,5000,180,1,0,static,0,1234,1000.975685,1215.740200,1000.108280,0.798540,0.000000,0.999
speedup,2,paralelo,5000,180,2,0,static,0,1234,487.682645,591.364100,487.029745,0.583220,0.000000,2.051
speedup,2,paralelo,5000,180,4,0,static,0,1234,316.241810,367.845500,315.433415,0.731050,0.000000,3.162
speedup,2,paralelo,5000,180,8,0,static,0,1234,256.467350,511.174400,255.714910,0.654445,0.000000,3.899
speedup,3,serial,5000,180,1,0,static,0,1234,735.991795,843.735200,735.247330,0.689615,0.000000,1.359
speedup,3,paralelo,5000,180,1,0,static,0,1234,927.681835,1299.101700,926.820345,0.792565,0.000000,1.078
speedup,3,paralelo,5000,180,2,0,static,0,1234,555.500280,836.390900,554.209510,1.102925,0.000000,1.800
speedup,3,paralelo,5000,180,4,0,static,0,1234,358.734050,407.903800,358.225605,0.423740,0.000000,2.788
speedup,3,paralelo,5000,180,8,0,static,0,1234,245.419375,267.116100,244.929200,0.405240,0.000000,4.075
speedup,4,serial,5000,180,1,0,static,0,1234,922.969555,1543.121000,922.064480,0.834820,0.000000,1.083
speedup,4,paralelo,5000,180,1,0,static,0,1234,955.207060,1275.835000,954.207650,0.844095,0.000000,1.047
speedup,4,paralelo,5000,180,2,0,static,0,1234,433.292615,494.937600,432.705180,0.523345,0.000000,2.308
speedup,4,paralelo,5000,180,4,0,static,0,1234,368.809890,488.762400,365.287295,1.212075,0.000000,2.711
speedup,4,paralelo,5000,180,8,0,static,0,1234,247.566050,269.406300,247.078695,0.401260,0.000000,4.039
speedup,5,serial,5000,180,1,0,static,0,1234,620.976265,696.344800,620.296130,0.631365,0.000000,1.610
speedup,5,paralelo,5000,180,1,0,static,0,1234,711.808130,980.731500,711.173985,0.577315,0.000000,1.405
speedup,5,paralelo,5000,180,2,0,static,0,1234,411.137160,434.383900,410.585230,0.494130,0.000000,2.432
speedup,5,paralelo,5000,180,4,0,static,0,1234,360.253830,452.854900,359.627285,0.511730,0.000000,2.776
speedup,5,paralelo,5000,180,8,0,static,0,1234,226.737645,234.472300,226.256885,0.390400,0.000000,4.410
speedup,6,serial,5000,180,1,0,static,0,1234,691.201535,782.824100,690.430610,0.718255,0.000000,1.447
speedup,6,paralelo,5000,180,1,0,static,0,1234,737.683770,886.092100,737.008340,0.623850,0.000000,1.356
speedup,6,paralelo,5000,180,2,0,static,0,1234,620.864095,982.413900,620.091460,0.702115,0.000000,1.611
speedup,6,paralelo,5000,180,4,0,static,0,1234,343.373585,385.366700,342.770770,0.514880,0.000000,2.912
speedup,6,paralelo,5000,180,8,0,static,0,1234,355.659380,557.174900,354.517370,0.981545,0.000000,2.812
speedup,7,serial,5000,180,1,0,static,0,1234,785.456330,1236.764900,784.459465,0.939355,0.000000,1.273
speedup,7,paralelo,5000,180,1,0,static,0,1234,743.567830,907.665200,742.859885,0.653685,0.000000,1.345
speedup,7,paralelo,5000,180,2,0,static,0,1234,433.427355,498.570100,432.732870,0.539085,0.000000,2.307
speedup,7,paralelo,5000,180,4,0,static,0,1234,288.448445,306.997900,287.971825,0.401130,0.000000,3.467
speedup,7,paralelo,5000,180,8,0,static,0,1234,268.251255,292.576600,267.373360,0.689585,0.000000,3.728
speedup,8,serial,5000,180,1,0,static,0,1234,692.356935,826.532400,691.444210,0.860020,0.000000,1.444
speedup,8,paralelo,5000,180,1,0,static,0,1234,755.517890,952.012000,754.006340,1.019155,0.000000,1.324
speedup,8,paralelo,5000,180,2,0,static,0,1234,513.977395,622.046400,513.278595,0.561115,0.000000,1.946
speedup,8,paralelo,5000,180,4,0,static,0,1234,338.182720,639.731000,337.681500,0.420720,0.000000,2.957
speedup,8,paralelo,5000,180,8,0,static,0,1234,283.951755,329.842400,283.339530,0.504745,0.000000,3.522
speedup,9,serial,5000,180,1,0,static,0,1234,657.704935,695.013800,656.961375,0.691255,0.000000,1.520
speedup,9,paralelo,5000,180,1,0,static,0,1234,734.597970,962.200300,733.906680,0.594245,0.000000,1.361
speedup,9,paralelo,5000,180,2,0,static,0,1234,501.955245,636.133500,500.301665,0.916765,0.000000,1.992
speedup,9,paralelo,5000,180,4,0,static,0,1234,293.651830,314.542800,293.183220,0.386745,0.000000,3.405
speedup,9,paralelo,5000,180,8,0,static,0,1234,235.570035,268.959500,235.032205,0.413285,0.000000,4.245
speedup,10,serial,5000,180,1,0,static,0,1234,663.663670,696.546800,662.932980,0.679465,0.000000,1.507
speedup,10,paralelo,5000,180,1,0,static,0,1234,735.437795,994.895400,734.808975,0.575715,0.000000,1.360
speedup,10,paralelo,5000,180,2,0,static,0,1234,448.680020,517.740500,448.086065,0.525320,0.000000,2.229
speedup,10,paralelo,5000,180,4,0,static,0,1234,291.067875,306.346000,290.525735,0.463235,0.000000,3.436
speedup,10,paralelo,5000,180,8,0,static,0,1234,282.703230,352.755500,282.179095,0.434095,0.000000,3.537
schedule,1,serial,5000,180,1,0,static,0,1234,693.829180,922.004500,692.995260,0.777365,0.000000,1.441
schedule,1,paralelo,5000,180,8,0,static,0,1234,230.845535,309.939800,230.331605,0.427290,0.000000,4.332
schedule,1,paralelo,5000,180,8,0,dynamic,0,1234,263.416700,348.974500,260.942595,1.955625,0.000000,3.796
schedule,1,paralelo,5000,180,8,0,guided,0,1234,361.817635,807.273400,359.827735,1.262310,0.000000,2.764
schedule,2,serial,5000,180,1,0,static,0,1234,1144.073965,1628.064700,1142.538035,1.356125,0.000000,0.874
schedule,2,paralelo,5000,180,8,0,static,0,1234,190.348740,220.589100,189.911675,0.361555,0.000000,5.254
schedule,2,paralelo,5000,180,8,0,dynamic,0,1234,228.107820,319.874600,226.832835,0.916755,0.000000,4.384
schedule,2,paralelo,5000,180,8,0,guided,0,1234,250.400685,332.218300,249.481460,0.558295,0.000000,3.994
schedule,3,serial,5000,180,1,0,static,0,1234,631.030750,882.576500,630.380125,0.602120,0.000000,1.585
schedule,3,paralelo,5000,180,8,0,static,0,1234,198.030365,213.275600,197.544920,0.405610,0.000000,5.050
schedule,3,paralelo,5000,180,8,0,dynamic,0,1234,214.843950,249.955500,213.660150,0.904835,0.000000,4.655
schedule,3,paralelo,5000,180,8,0,guided,0,1234,180.983160,191.746200,180.552625,0.343970,0.000000,5.525
schedule,4,serial,5000,180,1,0,static,0,1234,754.469090,888.981900,753.664455,0.744375,0.000000,1.325
schedule,4,paralelo,5000,180,8,0,static,0,1234,218.933405,238.185000,218.442520,0.404195,0.000000,4.568
schedule,4,paralelo,5000,180,8,0,dynamic,0,1234,180.514655,191.063400,179.659535,0.730950,0.000000,5.540
schedule,4,paralelo,5000,180,8,0,guided,0,1234,183.711395,193.864100,183.269545,0.354065,0.000000,5.443
schedule,5,serial,5000,180,1,0,static,0,1234,462.403540,577.104900,461.874280,0.483470,0.000000,2.163
schedule,5,paralelo,5000,180,8,0,static,0,1234,160.554525,166.086000,160.132130,0.344790,0.000000,6.228
schedule,5,paralelo,5000,180,8,0,dynamic,0,1234,160.410630,165.669700,159.587935,0.701350,0.000000,6.234
schedule,5,paralelo,5000,180,8,0,guided,0,1234,157.298100,161.376500,156.850560,0.358530,0.000000,6.357
schedule,6,serial,5000,180,1,0,static,0,1234,393.497400,410.008500,393.075355,0.387905,0.000000,2.541
schedule,6,paralelo,5000,180,8,0,static,0,1234,163.508310,169.945800,163.077770,0.345755,0.000000,6.116
schedule,6,paralelo,5000,180,8,0,dynamic,0,1234,239.461965,358.985000,238.207525,1.011135,0.000000,4.176
schedule,6,paralelo,5000,180,8,0,guided,0,1234,177.791350,236.433700,176.968380,0.567235,0.000000,5.625
schedule,7,serial,5000,180,1,0,static,0,1234,1009.882945,1835.434500,1008.882210,0.931435,0.000000,0.990
schedule,7,paralelo,5000,180,8,0,static,0,1234,297.118025,445.001100,296.566690,0.464365,0.000000,3.366
schedule,7,paralelo,5000,180,8,0,dynamic,0,1234,225.487140,238.690700,224.328525,0.944455,0.000000,4.435
schedule,7,paralelo,5000,180,8,0,guided,0,1234,228.447445,245.253800,227.927815,0.423925,0.000000,4.377
schedule,8,serial,5000,180,1,0,static,0,1234,725.109805,922.359900,724.393720,0.656930,0.000000,1.379
schedule,8,paralelo,5000,180,8,0,static,0,1234,303.898825,333.344700,303.092695,0.591815,0.000000,3.291
schedule,8,paralelo,5000,180,8,0,dynamic,0,1234,278.568595,318.940500,276.939445,1.251125,0.000000,3.590
schedule,8,paralelo,5000,180,8,0,guided,0,1234,287.431585,321.441000,286.717570,0.560500,0.000000,3.479
schedule,9,serial,5000,180,1,0,static,0,1234,900.479860,1080.458600,899.533355,0.867465,0.000000,1.111
schedule,9,paralelo,5000,180,8,0,static,0,1234,267.639510,280.803700,266.842425,0.576920,0.000000,3.736
schedule,9,paralelo,5000,180,8,0,dynamic,0,1234,385.542395,411.592500,382.631125,1.960875,0.000000,2.594
schedule,9,paralelo,5000,180,8,0,guided,0,1234,325.121015,406.991000,324.209375,0.691400,0.000000,3.076
schedule,10,serial,5000,180,1,0,static,0,1234,944.925925,1200.971700,943.917025,0.929115,0.000000,1.058
schedule,10,paralelo,5000,180,8,0,static,0,1234,264.580635,289.876500,263.938025,0.537170,0.000000,3.780
schedule,10,paralelo,5000,180,8,0,dynamic,0,1234,265.662635,273.195600,263.715535,1.449035,0.000000,3.764
schedule,10,paralelo,5000,180,8,0,guided,0,1234,276.856815,321.072800,276.181065,0.546235,0.000000,3.612
false_sharing,1,serial,3000,180,1,0,static,0,1234,346.571755,444.620200,345.848535,0.632490,0.000000,2.885
false_sharing,1,paralelo,3000,180,8,0,static,0,1234,117.247735,131.313300,116.596555,0.520195,0.000000,8.529
false_sharing,1,paralelo,3000,180,8,0,static,1,1234,107.023615,118.166800,106.326210,0.567440,0.000000,9.344
false_sharing,2,serial,3000,180,1,0,static,0,1234,359.893765,411.959300,359.144525,0.664255,0.000000,2.779
false_sharing,2,paralelo,3000,180,8,0,static,0,1234,93.484185,99.858400,92.988695,0.398645,0.000000,10.697
